directory_file_name,line_number,error_type,error_description
,2:7,error,no-unused-vars
,5:5,error,no-constant-condition
,12:19,error,no-undef
,16:7,error,no-unused-vars
,27:1,error,no-alert
,27:1,error,no-undef
,30:7,error,no-unused-vars
,33:7,error,no-unused-vars
,36:16,error,no-unused-vars
,17:25,error,no-magic-numbers
,66:39,error,no-magic-numbers
,124:23,error,no-magic-numbers
,202:26,error,no-magic-numbers
,206:26,error,no-magic-numbers
,206:31,error,no-magic-numbers
,235:27,error,no-magic-numbers
,238:31,error,no-magic-numbers
,5:22,error,import/no-unresolved
,3:18,error,import/no-unresolved
,21:12,error,no-magic-numbers
,25:46,error,no-magic-numbers
,30:56,error,no-magic-numbers
,34:44,error,no-magic-numbers
,36:71,error,no-magic-numbers
,48:64,warning,no-console
,34:46,error,no-magic-numbers
,36:73,error,no-magic-numbers
,90:41,error,no-magic-numbers
,314:35,error,no-magic-numbers
,5:22,error,import/no-unresolved
,3:18,error,import/no-unresolved
,23:12,error,no-magic-numbers
,27:46,error,no-magic-numbers
,32:56,error,no-magic-numbers
,1:18,error,import/no-unresolved
,9:41,error,no-magic-numbers
,40:12,error,no-magic-numbers
,34:44,error,no-magic-numbers
,36:71,error,no-magic-numbers
,48:64,warning,no-console
,34:46,error,no-magic-numbers
,36:73,error,no-magic-numbers
,7:40,error,no-magic-numbers
,53:24,error,no-magic-numbers
,68:15,error,no-magic-numbers
,72:12,error,no-unused-vars
,7:40,error,no-magic-numbers
,53:24,error,no-magic-numbers
,68:15,error,no-magic-numbers
,72:12,error,no-unused-vars
